eventID,entryDate,entryTimeStamp,eventData,eventTime,eventTitle,eventDescription,eventType,concenLevel,expecCompTime,expecCompPomo,actualCompTime,actualCompPomo
LU53bp84RXnm92QR,25-Mar-24,1711105577,27-Mar-24,,weekly-plan,Seminar Travel Lecture Check-up Conference,NUI,medium,3.15,,,
WP45bf17ARvi52OH,21-Mar-24,1711105587,25-Mar-24,,build-model,Feedback Dinner Outing Evaluation Holiday,UNI,high,4,,,
KP67vq98WFyb54NH,22-Mar-24,1711105598,24-Mar-24,,water-plant,Event Trip Evaluation Evaluation Evaluation,NUI,low,1.45,,,
JG48aa23NPdv51FJ,28-Mar-24,1711105613,30-Mar-24,,coding,Review Celebration Anniversary Evaluation Discussion,UI,medium,4.15,,,
MU60fu97BWkc50SA,29-Mar-24,1711105628,01-Apr-24,,weekly-plan,Feedback Seminar Test Evaluation Feedback,NUI,medium,1.3,,,
YW64vg76NNnc21OM,25-Mar-24,1711105643,26-Mar-24,17:05:00,reporting,Webinar Lecture Review Project Evaluation,NUNI,low,3,,,
TU86ru16MQzu76GO,27-Mar-24,1711105656,30-Mar-24,,get-groceries,Seminar Presentation Vacation Check-up Seminar,UNI,high,4.15,,,
SF16xr56HCiw08IW,21-Mar-24,1711105671,25-Mar-24,,reporting,Deadline Appointment Trip Call Seminar,UNI,medium,1.15,,,
KN87uv33EVqr59VQ,26-Mar-24,1711105683,29-Mar-24,,clean-data,Report Seminar Conference Planning Review,NUNI,medium,4.45,,,
JH21qa32GXfw10GG,23-Mar-24,1711105699,25-Mar-24,,go-for-walk,Appointment Project Anniversary Evaluation Anniversary,UNI,low,2.15,,,
QY40he18JJpn55OS,25-Mar-24,1711105709,26-Mar-24,,weekly-plan,Feedback Reception Interview Ceremony Appointment,NUI,low,4,,,
UV43bm27IQgs96OG,29-Mar-24,1711105721,31-Mar-24,,send-email,Report Workshop Planning Anniversary Networking,NUI,high,4,,,
TO40qw43IVkj56YW,31-Mar-24,1711105732,04-Apr-24,,reporting,Interview Presentation Report Celebration Appointment,NUNI,low,2.15,,,
ND11ol50ZXsk46CK,31-Mar-24,1711105747,01-Apr-24,,weekly-plan,Task Interview Vacation Discussion Reception,NUI,high,3.15,,,
RC36zg57GPmz75ST,22-Mar-24,1711105761,25-Mar-24,,train-model,Review Discussion Gathering Evaluation Gathering,NUNI,medium,2.3,,,
SW02xh95CMuf32NH,30-Mar-24,1711105778,01-Apr-24,,get-groceries,Celebration Party Anniversary Task Seminar,UI,low,4.3,,,
XD62rx58ZRgl31UT,31-Mar-24,1711105790,02-Apr-24,,coding,Appointment Evaluation Check-up Report Lunch,NUNI,low,1.45,,,
JD08uq33ANeh10QY,27-Mar-24,1711105806,29-Mar-24,11:00:00,send-reminder,Feedback Webinar Anniversary Anniversary Consultation,NUNI,low,1.15,,,
AR04ml05MUui23YK,24-Mar-24,1711105816,28-Mar-24,21:10:00,clean-data,Celebration Review Event Discussion Assessment,NUNI,medium,3.45,,,
VF08ho22CAbi46EZ,26-Mar-24,1711105828,29-Mar-24,,water-plant,Networking Holiday Examination Interview Workshop,UI,medium,1,,,
JY77zb69BYfa12PW,30-Mar-24,1711105842,02-Apr-24,,build-model,Lecture Appointment Feedback Celebration Holiday,NUI,medium,2,,,
SS58oh63XNac51NL,29-Mar-24,1711105853,31-Mar-24,,send-reminder,Check-up Appointment Webinar Review Report,UI,medium,1.45,,,
XS57uh45XHbc83UA,01-Apr-24,1711105870,03-Apr-24,,download-data,Dinner Meeting Lunch Discussion Discussion,NUI,medium,2,,,
DA24gw78RHtv20XZ,24-Mar-24,1711105888,27-Mar-24,,coding,Test Planning Webinar Review Project,NUI,high,4.15,,,
KI92kk26MWot39HH,30-Mar-24,1711105901,02-Apr-24,,prepare-github,Audit Audit Call Seminar Discussion,NUNI,medium,1,,,
QJ37de40ZKyo09AT,25-Mar-24,1711105918,28-Mar-24,,share-data,Conference Seminar Seminar Check-up Networking,NUNI,low,1.15,,,
